Cruise,Station,Type,yyyy-mm-ddThh:mm,Latitude [degrees_north],Longitude [degrees_east],Bot. Depth [m],PRES [db],TEMP [deg C],PSAL [psu],DOXY [ml/l]
26DA,1231,B,2015-11-27T09:56,56.5845,16.8933,0063,61,4.90,9.283,
26DA,1231,B,2015-11-27T09:56,56.5845,16.8933,0063,63,4.92,9.351,
3490,0138,B,2015-01-12T07:45,60.7865,21.2030,0034,1,1.1,,
3490,0138,B,2015-01-12T07:45,60.7865,21.2030,0034,5,1.2,,
3490,0138,B,2015-01-12T07:45,60.7865,21.2030,0034,10,1.2,,
3490,0138,B,2015-01-12T07:45,60.7865,21.2030,0034,20,1.2,,
3490,0138,B,2015-01-12T07:45,60.7865,21.2030,0034,33,1.2,,
3490,0141,B,2015-01-12T11:00,60.7840,21.3143,0019,1,0.1,,
3490,0141,B,2015-01-12T11:00,60.7840,21.3143,0019,5,0.2,,
3490,0141,B,2015-01-12T11:00,60.7840,21.3143,0019,10,0.7,,
3490,0141,B,2015-01-12T11:00,60.7840,21.3143,0019,18,0.9,,
3490,0071,B,2015-01-19T10:45,60.2557,21.9532,0048,0,,,
3490,0071,B,2015-01-19T10:45,60.2557,21.9532,0048,1,1.7,5.72,9.1
3490,0071,B,2015-01-19T10:45,60.2557,21.9532,0048,5,1.7,5.81,9.03
3490,0071,B,2015-01-19T10:45,60.2557,21.9532,0048,10,1.8,5.82,7.63
3490,0071,B,2015-01-19T10:45,60.2557,21.9532,0048,20,1.8,5.89,9.03
3490,0071,B,2015-01-19T10:45,60.2557,21.9532,0048,40,1.9,5.94,8.89
3490,0071,B,2015-01-19T10:45,60.2557,21.9532,0048,47,1.9,5.95,7
3490,0128,B,2015-01-22T08:30,60.5952,21.0942,0033,0,,,
3490,0128,B,2015-01-22T08:30,60.5952,21.0942,0033,1,0.9,5.95,9.45
3490,0128,B,2015-01-22T08:30,60.5952,21.0942,0033,5,0.9,5.94,9.45
3490,0128,B,2015-01-22T08:30,60.5952,21.0942,0033,10,1.1,5.93,9.45
3490,0128,B,2015-01-22T08:30,60.5952,21.0942,0033,20,1.1,5.93,9.52
3490,0128,B,2015-01-22T08:30,60.5952,21.0942,0033,32,1.1,5.93,9.45
3490,0265,B,2015-01-26T00:00,65.6135,24.3465,0018,1,0.2,,
3490,0265,B,2015-01-26T00:00,65.6135,24.3465,0018,5,0.2,,
3490,0265,B,2015-01-26T00:00,65.6135,24.3465,0018,10,0.2,,
3490,0265,B,2015-01-26T00:00,65.6135,24.3465,0018,16,0.2,,
3490,0169,B,2015-02-05T10:00,62.8957,21.3942,0002,1,1.1,,6.09
3490,0191,B,2015-02-09T09:00,63.3337,22.3128,0010,1,0.4,,8.4
3490,0191,B,2015-02-09T09:00,63.3337,22.3128,0010,5,0.4,,9.1
3490,0191,B,2015-02-09T09:00,63.3337,22.3128,0010,9.3,0.4,,8.75
3490,0194,B,2015-02-09T10:00,63.3788,22.1973,0060,1,0.1,,
3490,0194,B,2015-02-09T10:00,63.3788,22.1973,0060,5,0.1,,9.17
3490,0194,B,2015-02-09T10:00,63.3788,22.1973,0060,10,0.,,
3490,0194,B,2015-02-09T10:00,63.3788,22.1973,0060,20,0.,,9.03
3490,0194,B,2015-02-09T10:00,63.3788,22.1973,0060,40,0.1,,9.17
3490,0194,B,2015-02-09T10:00,63.3788,22.1973,0060,59,0.1,,9.1
3490,0072,B,2015-02-09T11:00,60.2557,21.9532,0048,0,,,
3490,0072,B,2015-02-09T11:00,60.2557,21.9532,0048,1,1.,5.67,9.52
3490,0072,B,2015-02-09T11:00,60.2557,21.9532,0048,5,0.7,5.71,9.31
3490,0072,B,2015-02-09T11:00,60.2557,21.9532,0048,10,0.8,5.75,9.94
3490,0072,B,2015-02-09T11:00,60.2557,21.9532,0048,20,0.9,5.78,9.66
3490,0072,B,2015-02-09T11:00,60.2557,21.9532,0048,40,1.,5.83,8.19
3490,0072,B,2015-02-09T11:00,60.2557,21.9532,0048,47,1.1,5.92,9.24
3490,0214,B,2015-02-11T08:00,63.5768,22.4033,0008,1,0.2,,8.05
3490,0214,B,2015-02-11T08:00,63.5768,22.4033,0008,7.2,0.4,,9.1
3490,0217,B,2015-02-11T08:30,63.5887,22.4395,0006,1,0.2,,8.61
3490,0217,B,2015-02-11T08:30,63.5887,22.4395,0006,3,0.2,,
3490,0217,B,2015-02-11T08:30,63.5887,22.4395,0006,5.4,0.2,,9.03
3490,0176,B,2015-02-12T12:30,62.9850,21.0330,0018,1,0.5,,9.45
3490,0176,B,2015-02-12T12:30,62.9850,21.0330,0018,10,0.5,,9.38
3490,0176,B,2015-02-12T12:30,62.9850,21.0330,0018,17.3,0.4,,9.38
3490,0164,B,2015-02-16T09:30,62.3408,21.3243,0008,1,0.2,,8.82
3490,0164,B,2015-02-16T09:30,62.3408,21.3243,0008,3,0.4,,
3490,0164,B,2015-02-16T09:30,62.3408,21.3243,0008,7,0.5,,8.61
3490,0033,B,2015-02-19T10:00,59.9520,23.8112,0015,1,0.9,5.66,9.03
3490,0033,B,2015-02-19T10:00,59.9520,23.8112,0015,5,0.3,5.76,9.1
3490,0033,B,2015-02-19T10:00,59.9520,23.8112,0015,10,0.2,5.84,9.24
3490,0033,B,2015-02-19T10:00,59.9520,23.8112,0015,14.3,0.4,5.85,9.03
3490,0029,B,2015-02-19T11:15,59.8910,23.6820,0026,1,0.2,5.93,9.45
3490,0029,B,2015-02-19T11:15,59.8910,23.6820,0026,5,0.2,5.93,9.45
3490,0029,B,2015-02-19T11:15,59.8910,23.6820,0026,10,0.2,5.93,9.45
3490,0029,B,2015-02-19T11:15,59.8910,23.6820,0026,20,0.2,5.93,9.45
3490,0029,B,2015-02-19T11:15,59.8910,23.6820,0026,25,0.2,5.93,9.45
3490,0266,B,2015-02-25T00:00,65.5988,24.9147,0013,1,0.2,,
3490,0266,B,2015-02-25T00:00,65.5988,24.9147,0013,5,0.4,,
3490,0266,B,2015-02-25T00:00,65.5988,24.9147,0013,10,0.5,,
3490,0266,B,2015-02-25T00:00,65.5988,24.9147,0013,12.5,0.6,,
3490,0267,B,2015-02-25T00:00,65.6510,24.8650,0004,1,0.2,,
3490,0267,B,2015-02-25T00:00,65.6510,24.8650,0004,3,0.4,,
3490,0268,B,2015-02-26T00:00,65.5932,24.7468,0021,1,0.1,,
3490,0268,B,2015-02-26T00:00,65.5932,24.7468,0021,5,0.1,,
3490,0268,B,2015-02-26T00:00,65.5932,24.7468,0021,10,0.1,,
3490,0268,B,2015-02-26T00:00,65.5932,24.7468,0021,20,0.1,,
3490,0269,B,2015-02-26T00:00,65.6075,24.5235,0021,1,0.,,
3490,0269,B,2015-02-26T00:00,65.6075,24.5235,0021,5,0.,,
3490,0269,B,2015-02-26T00:00,65.6075,24.5235,0021,10,0.1,,
3490,0269,B,2015-02-26T00:00,65.6075,24.5235,0021,20,0.1,,
3490,0069,B,2015-03-03T09:00,60.2512,20.4478,0032,1,1.7,6.02,9.1
3490,0069,B,2015-03-03T09:00,60.2512,20.4478,0032,5,1.7,6.05,9.1
3490,0069,B,2015-03-03T09:00,60.2512,20.4478,0032,10,1.7,6.11,9.03
3490,0069,B,2015-03-03T09:00,60.2512,20.4478,0032,20,1.7,6.12,8.96
3490,0069,B,2015-03-03T09:00,60.2512,20.4478,0032,29,1.6,6.13,9.03
3490,0030,B,2015-03-03T10:30,59.9377,21.6580,,1,1.8,6.31,8.82
3490,0030,B,2015-03-03T10:30,59.9377,21.6580,,5,1.8,6.31,8.82
3490,0030,B,2015-03-03T10:30,59.9377,21.6580,,10,1.8,6.32,9.1
3490,0030,B,2015-03-03T10:30,59.9377,21.6580,,20,1.8,6.32,9.24
3490,0030,B,2015-03-03T10:30,59.9377,21.6580,,40,1.8,6.35,8.68
3490,0030,B,2015-03-03T10:30,59.9377,21.6580,,60,1.8,6.35,9.17
3490,0030,B,2015-03-03T10:30,59.9377,21.6580,,80,2.,6.41,9.38
3490,0036,B,2015-03-03T11:45,60.0942,21.3982,,1,1.6,6.31,8.75
3490,0036,B,2015-03-03T11:45,60.0942,21.3982,,5,1.7,6.31,8.05
3490,0036,B,2015-03-03T11:45,60.0942,21.3982,,10,1.7,6.31,9.03
3490,0036,B,2015-03-03T11:45,60.0942,21.3982,,20,1.7,6.32,9.52
3490,0036,B,2015-03-03T11:45,60.0942,21.3982,,40,1.7,6.32,9.03
3490,0036,B,2015-03-03T11:45,60.0942,21.3982,,51,1.6,6.33,9.1
3490,0034,B,2015-03-04T07:20,60.0183,19.8315,0092,1,2.6,5.84,9.03
3490,0034,B,2015-03-04T07:20,60.0183,19.8315,0092,5,2.6,5.84,8.82
3490,0034,B,2015-03-04T07:20,60.0183,19.8315,0092,10,2.6,5.84,8.75
3490,0034,B,2015-03-04T07:20,60.0183,19.8315,0092,20,2.6,5.84,8.82
3490,0034,B,2015-03-04T07:20,60.0183,19.8315,0092,40,2.9,6.03,8.54
3490,0034,B,2015-03-04T07:20,60.0183,19.8315,0092,60,3.2,6.32,8.12
3490,0034,B,2015-03-04T07:20,60.0183,19.8315,0092,89,3.8,6.42,7.98
3490,0068,B,2015-03-04T09:30,60.2003,25.3345,0023,1,1.,5.21,9.24
3490,0068,B,2015-03-04T09:30,60.2003,25.3345,0023,5,1.,5.21,9.24
3490,0068,B,2015-03-04T09:30,60.2003,25.3345,0023,10,1.,5.23,9.31
3490,0068,B,2015-03-04T09:30,60.2003,25.3345,0023,20,1.1,5.32,8.61
3490,0068,B,2015-03-04T09:30,60.2003,25.3345,0023,22,1.2,5.44,8.82
3490,0147,B,2015-03-04T09:40,61.5868,21.2097,0037,1,0.3,5.32,8.75
3490,0147,B,2015-03-04T09:40,61.5868,21.2097,0037,5,0.7,5.65,8.68
3490,0147,B,2015-03-04T09:40,61.5868,21.2097,0037,10,0.7,5.63,8.75
3490,0147,B,2015-03-04T09:40,61.5868,21.2097,0037,20,0.7,5.66,8.68
3490,0147,B,2015-03-04T09:40,61.5868,21.2097,0037,30,0.7,5.65,8.61
3490,0147,B,2015-03-04T09:40,61.5868,21.2097,0037,36,0.7,5.63,8.75
3490,0155,B,2015-03-05T08:00,61.7258,21.4415,0017,1,0.7,4.5,9.03
3490,0155,B,2015-03-05T08:00,61.7258,21.4415,0017,5,0.7,5.28,9.03
3490,0155,B,2015-03-05T08:00,61.7258,21.4415,0017,10,0.8,5.54,8.96
3490,0155,B,2015-03-05T08:00,61.7258,21.4415,0017,16,0.8,5.61,8.89
3490,0151,B,2015-03-05T10:50,61.6352,21.2713,0042,1,1.2,5.29,9.03
3490,0151,B,2015-03-05T10:50,61.6352,21.2713,0042,5,1.2,5.45,8.96
3490,0151,B,2015-03-05T10:50,61.6352,21.2713,0042,10,1.,5.73,8.89
3490,0151,B,2015-03-05T10:50,61.6352,21.2713,0042,20,1.,5.76,8.89
3490,0151,B,2015-03-05T10:50,61.6352,21.2713,0042,30,1.3,5.79,8.82
3490,0151,B,2015-03-05T10:50,61.6352,21.2713,0042,39,1.4,5.83,8.82
3490,0073,B,2015-03-09T10:40,60.2557,21.9532,0048,0,,,
3490,0073,B,2015-03-09T10:40,60.2557,21.9532,0048,1,1.3,5.75,9.94
3490,0073,B,2015-03-09T10:40,60.2557,21.9532,0048,5,1.3,5.77,9.66
3490,0073,B,2015-03-09T10:40,60.2557,21.9532,0048,10,1.2,5.79,9.38
3490,0073,B,2015-03-09T10:40,60.2557,21.9532,0048,20,1.2,5.81,9.31
3490,0073,B,2015-03-09T10:40,60.2557,21.9532,0048,40,1.1,5.91,9.24
3490,0073,B,2015-03-09T10:40,60.2557,21.9532,0048,47,1.1,5.92,9.31
3490,0099,B,2015-03-12T08:45,60.3122,22.0458,0082,1,1.5,5.25,9.38
3490,0099,B,2015-03-12T08:45,60.3122,22.0458,0082,5,1.6,5.36,9.17
3490,0099,B,2015-03-12T08:45,60.3122,22.0458,0082,10,1.5,5.41,9.24
3490,0099,B,2015-03-12T08:45,60.3122,22.0458,0082,20,1.3,5.6,9.1
3490,0099,B,2015-03-12T08:45,60.3122,22.0458,0082,40,1.1,5.79,8.61
3490,0099,B,2015-03-12T08:45,60.3122,22.0458,0082,60,1.1,5.82,9.17
3490,0099,B,2015-03-12T08:45,60.3122,22.0458,0082,79,1.3,5.84,9.17
3490,0112,B,2015-03-12T10:00,60.3777,22.1023,0050,1,2.1,4.38,9.03
3490,0112,B,2015-03-12T10:00,60.3777,22.1023,0050,5,1.6,5.16,9.24
3490,0112,B,2015-03-12T10:00,60.3777,22.1023,0050,10,1.3,5.5,9.17
3490,0112,B,2015-03-12T10:00,60.3777,22.1023,0050,20,1.1,5.67,9.1
3490,0112,B,2015-03-12T10:00,60.3777,22.1023,0050,40,1.1,5.76,9.03
3490,0112,B,2015-03-12T10:00,60.3777,22.1023,0050,48,1.1,5.78,9.24
3490,0018,B,2015-03-16T06:00,59.8052,21.3418,0067,0,,,
3490,0018,B,2015-03-16T06:00,59.8052,21.3418,0067,1,2.5,6.48,9.38
3490,0018,B,2015-03-16T06:00,59.8052,21.3418,0067,5,2.5,6.48,9.31
3490,0018,B,2015-03-16T06:00,59.8052,21.3418,0067,10,2.5,6.48,9.17
3490,0018,B,2015-03-16T06:00,59.8052,21.3418,0067,20,2.5,6.5,9.17
3490,0018,B,2015-03-16T06:00,59.8052,21.3418,0067,40,2.5,6.5,9.24
3490,0018,B,2015-03-16T06:00,59.8052,21.3418,0067,66,2.5,6.51,9.24
3490,0001,B,2015-03-17T08:30,59.7768,23.2628,0059,0,,,
3490,0001,B,2015-03-17T08:30,59.7768,23.2628,0059,1,2.6,6.23,9.17
3490,0001,B,2015-03-17T08:30,59.7768,23.2628,0059,5,2.5,6.23,9.17
3490,0001,B,2015-03-17T08:30,59.7768,23.2628,0059,10,2.5,6.23,9.17
3490,0001,B,2015-03-17T08:30,59.7768,23.2628,0059,20,2.5,6.23,9.17
3490,0001,B,2015-03-17T08:30,59.7768,23.2628,0059,40,2.4,6.23,9.1
3490,0001,B,2015-03-17T08:30,59.7768,23.2628,0059,58,2.4,6.26,8.96
3490,0025,B,2015-03-17T09:20,59.8173,23.2755,0044,1,2.5,6.09,9.45
3490,0025,B,2015-03-17T09:20,59.8173,23.2755,0044,5,2.4,6.09,9.52
3490,0025,B,2015-03-17T09:20,59.8173,23.2755,0044,10,2.9,6.09,9.38
3490,0025,B,2015-03-17T09:20,59.8173,23.2755,0044,20,2.3,6.13,9.24
3490,0025,B,2015-03-17T09:20,59.8173,23.2755,0044,30,2.3,6.14,9.17
3490,0025,B,2015-03-17T09:20,59.8173,23.2755,0044,42.5,2.1,6.21,8.96
3490,0253,B,2015-03-25T08:15,63.9612,22.9282,0016,1,0.,,9.52
3490,0253,B,2015-03-25T08:15,63.9612,22.9282,0016,5,0.,,9.52
3490,0253,B,2015-03-25T08:15,63.9612,22.9282,0016,10,0.,,9.59
3490,0253,B,2015-03-25T08:15,63.9612,22.9282,0016,15,0.,,9.45
3490,0237,B,2015-03-25T09:00,63.9188,22.9802,0018,0,,,
3490,0237,B,2015-03-25T09:00,63.9188,22.9802,0018,1,0.2,,9.59
3490,0237,B,2015-03-25T09:00,63.9188,22.9802,0018,5,0.2,,9.66
3490,0237,B,2015-03-25T09:00,63.9188,22.9802,0018,10,0.,,9.52
3490,0237,B,2015-03-25T09:00,63.9188,22.9802,0018,17,0.,,9.52
3490,0270,B,2015-03-26T00:00,65.6135,24.3465,0017,1,0.,,
3490,0270,B,2015-03-26T00:00,65.6135,24.3465,0017,5,0.,,
3490,0270,B,2015-03-26T00:00,65.6135,24.3465,0017,10,0.,,
3490,0270,B,2015-03-26T00:00,65.6135,24.3465,0017,16,0.1,,
3490,0129,B,2015-03-30T07:20,60.5952,21.0942,0034,0,,,
3490,0129,B,2015-03-30T07:20,60.5952,21.0942,0034,1,1.9,5.81,8.75
3490,0129,B,2015-03-30T07:20,60.5952,21.0942,0034,5,1.9,5.81,8.89
3490,0129,B,2015-03-30T07:20,60.5952,21.0942,0034,10,1.9,5.82,8.96
3490,0129,B,2015-03-30T07:20,60.5952,21.0942,0034,20,1.8,5.84,8.68
3490,0129,B,2015-03-30T07:20,60.5952,21.0942,0034,33,1.9,5.85,9.17
3490,0108,B,2015-03-30T08:40,60.3625,21.5887,0038,0,,,
3490,0108,B,2015-03-30T08:40,60.3625,21.5887,0038,1,1.8,5.82,8.89
3490,0108,B,2015-03-30T08:40,60.3625,21.5887,0038,5,1.8,5.82,9.24
3490,0108,B,2015-03-30T08:40,60.3625,21.5887,0038,10,1.8,5.83,9.1
3490,0108,B,2015-03-30T08:40,60.3625,21.5887,0038,20,1.8,5.83,9.38
3490,0108,B,2015-03-30T08:40,60.3625,21.5887,0038,37,1.8,5.83,9.24
3490,0254,B,2015-03-31T06:20,63.9612,22.9282,0015,1,1.1,3.14,9.38
3490,0254,B,2015-03-31T06:20,63.9612,22.9282,0015,5,1.1,3.14,9.52
3490,0254,B,2015-03-31T06:20,63.9612,22.9282,0015,10,1.1,3.14,9.45
3490,0254,B,2015-03-31T06:20,63.9612,22.9282,0015,14,1.1,3.15,9.52
3490,0226,B,2015-03-31T08:00,63.8782,22.9888,0017,1,1.2,3.1,9.45
3490,0226,B,2015-03-31T08:00,63.8782,22.9888,0017,5,1.2,3.11,9.31
3490,0226,B,2015-03-31T08:00,63.8782,22.9888,0017,10,1.2,3.11,9.59
3490,0226,B,2015-03-31T08:00,63.8782,22.9888,0017,14,1.2,3.11,9.59
3490,0002,B,2015-04-01T08:00,59.7768,23.2628,0059,0,,,
3490,0002,B,2015-04-01T08:00,59.7768,23.2628,0059,1,2.2,5.97,9.38
3490,0002,B,2015-04-01T08:00,59.7768,23.2628,0059,5,2.2,5.97,9.66
3490,0002,B,2015-04-01T08:00,59.7768,23.2628,0059,10,2.2,5.97,9.38
3490,0002,B,2015-04-01T08:00,59.7768,23.2628,0059,20,2.2,5.98,9.38
3490,0002,B,2015-04-01T08:00,59.7768,23.2628,0059,40,2.2,5.99,9.31
3490,0002,B,2015-04-01T08:00,59.7768,23.2628,0059,58,2.1,5.99,9.38
3490,0003,B,2015-04-07T08:00,59.7768,23.2628,0059,0,,,
3490,0003,B,2015-04-07T08:00,59.7768,23.2628,0059,1,2.4,5.91,8.96
3490,0003,B,2015-04-07T08:00,59.7768,23.2628,0059,5,2.4,5.91,8.96
3490,0003,B,2015-04-07T08:00,59.7768,23.2628,0059,10,2.4,5.91,8.89
3490,0003,B,2015-04-07T08:00,59.7768,23.2628,0059,20,2.4,5.91,8.96
3490,0003,B,2015-04-07T08:00,59.7768,23.2628,0059,40,2.3,5.91,8.68
3490,0003,B,2015-04-07T08:00,59.7768,23.2628,0059,57.5,2.3,5.94,8.68
3490,0130,B,2015-04-13T07:10,60.5952,21.0942,0036,0,,,
3490,0130,B,2015-04-13T07:10,60.5952,21.0942,0036,1,3.4,5.82,9.52
3490,0130,B,2015-04-13T07:10,60.5952,21.0942,0036,5,3.3,5.8,9.59
3490,0130,B,2015-04-13T07:10,60.5952,21.0942,0036,10,3.3,5.82,9.59
3490,0130,B,2015-04-13T07:10,60.5952,21.0942,0036,20,3.2,5.83,9.66
3490,0130,B,2015-04-13T07:10,60.5952,21.0942,0036,35,3.2,5.86,9.66
3490,0091,B,2015-04-14T06:45,60.2503,27.2468,0069,1,2.,4.51,
3490,0091,B,2015-04-14T06:45,60.2503,27.2468,0069,5,2.,4.53,
3490,0091,B,2015-04-14T06:45,60.2503,27.2468,0069,10,1.9,4.64,
3490,0091,B,2015-04-14T06:45,60.2503,27.2468,0069,15,1.8,4.64,
3490,0091,B,2015-04-14T06:45,60.2503,27.2468,0069,20,1.8,4.65,
3490,0091,B,2015-04-14T06:45,60.2503,27.2468,0069,40,1.7,5.29,
3490,0091,B,2015-04-14T06:45,60.2503,27.2468,0069,68,2.1,5.54,
3490,0004,B,2015-04-14T07:00,59.7768,23.2628,0060,0,,,
3490,0004,B,2015-04-14T07:00,59.7768,23.2628,0060,1,2.8,5.93,8.96
3490,0004,B,2015-04-14T07:00,59.7768,23.2628,0060,5,2.8,5.93,8.68
3490,0004,B,2015-04-14T07:00,59.7768,23.2628,0060,10,3.,5.93,8.75
3490,0004,B,2015-04-14T07:00,59.7768,23.2628,0060,20,2.9,5.93,8.47
3490,0004,B,2015-04-14T07:00,59.7768,23.2628,0060,40,2.8,6.2,8.12
3490,0004,B,2015-04-14T07:00,59.7768,23.2628,0060,59,3.,6.42,7.7
3490,0119,B,2015-04-14T08:00,60.3885,27.6550,0048,1,1.1,4.08,
3490,0119,B,2015-04-14T08:00,60.3885,27.6550,0048,5,1.2,4.08,
3490,0119,B,2015-04-14T08:00,60.3885,27.6550,0048,10,1.3,4.08,
3490,0119,B,2015-04-14T08:00,60.3885,27.6550,0048,15,1.2,4.09,
3490,0119,B,2015-04-14T08:00,60.3885,27.6550,0048,20,1.1,4.11,
3490,0119,B,2015-04-14T08:00,60.3885,27.6550,0048,47,1.8,5.27,
3490,0238,B,2015-04-15T05:50,63.9188,22.9802,0019,1,2.2,,9.17
3490,0238,B,2015-04-15T05:50,63.9188,22.9802,0019,5,2.2,,9.24
3490,0238,B,2015-04-15T05:50,63.9188,22.9802,0019,10,2.2,,9.1
3490,0238,B,2015-04-15T05:50,63.9188,22.9802,0019,17.5,1.8,,
3490,0005,B,2015-04-21T08:00,59.7768,23.2628,0059,0,,,
3490,0005,B,2015-04-21T08:00,59.7768,23.2628,0059,1,3.7,5.9,9.45
3490,0005,B,2015-04-21T08:00,59.7768,23.2628,0059,5,3.6,5.9,9.24
3490,0005,B,2015-04-21T08:00,59.7768,23.2628,0059,10,3.5,5.9,9.24
3490,0005,B,2015-04-21T08:00,59.7768,23.2628,0059,20,3.,5.9,9.1
3490,0005,B,2015-04-21T08:00,59.7768,23.2628,0059,40,3.,6.11,8.26
3490,0005,B,2015-04-21T08:00,59.7768,23.2628,0059,58,3.,6.37,8.19
3490,0177,B,2015-04-21T08:10,62.9850,21.0330,0018,0,,,
3490,0177,B,2015-04-21T08:10,62.9850,21.0330,0018,1,4.1,,9.59
3490,0177,B,2015-04-21T08:10,62.9850,21.0330,0018,5,3.4,,9.66
3490,0177,B,2015-04-21T08:10,62.9850,21.0330,0018,10,3.4,,9.66
3490,0177,B,2015-04-21T08:10,62.9850,21.0330,0018,17.3,3.6,,10.08
3490,0197,B,2015-04-21T12:30,63.4040,21.9897,0025,0,,,
3490,0197,B,2015-04-21T12:30,63.4040,21.9897,0025,1,3.8,,9.31
3490,0197,B,2015-04-21T12:30,63.4040,21.9897,0025,5,3.2,,9.59
3490,0197,B,2015-04-21T12:30,63.4040,21.9897,0025,10,3.2,,8.96
3490,0197,B,2015-04-21T12:30,63.4040,21.9897,0025,15,3.,,9.03
3490,0197,B,2015-04-21T12:30,63.4040,21.9897,0025,24,2.7,,8.89
3490,0074,B,2015-04-22T07:00,60.2557,21.9532,0048,0,,,
3490,0074,B,2015-04-22T07:00,60.2557,21.9532,0048,1,3.7,5.74,10.43
3490,0074,B,2015-04-22T07:00,60.2557,21.9532,0048,5,3.7,5.75,10.08
3490,0074,B,2015-04-22T07:00,60.2557,21.9532,0048,10,3.8,5.75,10.08
3490,0074,B,2015-04-22T07:00,60.2557,21.9532,0048,20,3.4,5.73,10.01
3490,0074,B,2015-04-22T07:00,60.2557,21.9532,0048,40,3.2,5.92,
3490,0074,B,2015-04-22T07:00,60.2557,21.9532,0048,47,3.2,5.94,9.59
3490,0075,B,2015-04-27T07:00,60.2557,21.9532,0048,0,,,
3490,0075,B,2015-04-27T07:00,60.2557,21.9532,0048,1,4.6,5.78,9.87
3490,0075,B,2015-04-27T07:00,60.2557,21.9532,0048,5,4.4,5.78,9.87
3490,0075,B,2015-04-27T07:00,60.2557,21.9532,0048,10,4.3,5.78,9.8
3490,0075,B,2015-04-27T07:00,60.2557,21.9532,0048,20,3.9,5.81,9.66
3490,0075,B,2015-04-27T07:00,60.2557,21.9532,0048,40,3.7,5.86,9.59
3490,0075,B,2015-04-27T07:00,60.2557,21.9532,0048,47,3.6,5.88,7
3490,0239,B,2015-04-28T05:35,63.9188,22.9802,0018,0,,,
3490,0239,B,2015-04-28T05:35,63.9188,22.9802,0018,1,4.2,,8.68
3490,0239,B,2015-04-28T05:35,63.9188,22.9802,0018,5,4.2,,8.68
3490,0239,B,2015-04-28T05:35,63.9188,22.9802,0018,10,4.,,8.89
3490,0239,B,2015-04-28T05:35,63.9188,22.9802,0018,17,3.7,,8.75
3490,0006,B,2015-04-28T08:00,59.7768,23.2628,0059,0,,,
3490,0006,B,2015-04-28T08:00,59.7768,23.2628,0059,1,4.6,5.87,9.38
3490,0006,B,2015-04-28T08:00,59.7768,23.2628,0059,5,4.5,5.87,8.68
3490,0006,B,2015-04-28T08:00,59.7768,23.2628,0059,10,4.3,5.87,9.03
3490,0006,B,2015-04-28T08:00,59.7768,23.2628,0059,20,4.1,5.89,9.17
3490,0006,B,2015-04-28T08:00,59.7768,23.2628,0059,40,3.3,6.12,8.61
3490,0006,B,2015-04-28T08:00,59.7768,23.2628,0059,57.5,3.2,6.37,7.7
3490,0240,B,2015-05-04T05:30,63.9188,22.9802,0018,0,,,
3490,0240,B,2015-05-04T05:30,63.9188,22.9802,0018,1,5.6,,8.61
3490,0240,B,2015-05-04T05:30,63.9188,22.9802,0018,5,5.4,,8.96
3490,0240,B,2015-05-04T05:30,63.9188,22.9802,0018,10,5.2,,8.61
3490,0240,B,2015-05-04T05:30,63.9188,22.9802,0018,17,4.8,,8.54
3490,0041,B,2015-05-04T09:20,60.0833,25.1230,0047,1,4.3,5.07,9.94
3490,0041,B,2015-05-04T09:20,60.0833,25.1230,0047,5,,5.07,9.8
3490,0041,B,2015-05-04T09:20,60.0833,25.1230,0047,10,3.8,5.08,9.59
3490,0041,B,2015-05-04T09:20,60.0833,25.1230,0047,20,3.8,5.1,9.52
3490,0041,B,2015-05-04T09:20,60.0833,25.1230,0047,40,3.6,5.24,9.03
3490,0041,B,2015-05-04T09:20,60.0833,25.1230,0047,46,2.8,5.64,8.12
3490,0178,B,2015-05-05T07:45,62.9850,21.0330,0018,0,,,
3490,0178,B,2015-05-05T07:45,62.9850,21.0330,0018,1,6.,,8.54
3490,0178,B,2015-05-05T07:45,62.9850,21.0330,0018,5,6.,,8.54
3490,0178,B,2015-05-05T07:45,62.9850,21.0330,0018,10,5.9,,8.47
3490,0178,B,2015-05-05T07:45,62.9850,21.0330,0018,16.5,16.5,,8.19
3490,0007,B,2015-05-05T08:00,59.7768,23.2628,0059,0,,,
3490,0007,B,2015-05-05T08:00,59.7768,23.2628,0059,1,4.6,5.83,9.1
3490,0007,B,2015-05-05T08:00,59.7768,23.2628,0059,5,4.6,5.83,9.24
3490,0007,B,2015-05-05T08:00,59.7768,23.2628,0059,10,4.6,5.83,9.1
3490,0007,B,2015-05-05T08:00,59.7768,23.2628,0059,20,4.6,5.83,9.1
3490,0007,B,2015-05-05T08:00,59.7768,23.2628,0059,40,4.4,5.86,8.82
3490,0007,B,2015-05-05T08:00,59.7768,23.2628,0059,57.5,3.5,6.1,8.12
3490,0198,B,2015-05-05T11:50,63.4040,21.9897,0025,0,,,
3490,0198,B,2015-05-05T11:50,63.4040,21.9897,0025,1,5.7,,8.4
3490,0198,B,2015-05-05T11:50,63.4040,21.9897,0025,5,5.6,,8.47
3490,0198,B,2015-05-05T11:50,63.4040,21.9897,0025,10,4.4,,8.54
3490,0198,B,2015-05-05T11:50,63.4040,21.9897,0025,15,4.2,,8.68
3490,0198,B,2015-05-05T11:50,63.4040,21.9897,0025,24,3.7,,8.61
3490,0076,B,2015-05-11T07:00,60.2557,21.9532,0048,0,,,
3490,0076,B,2015-05-11T07:00,60.2557,21.9532,0048,1,6.,5.76,9.59
